mean 100 episode reward,steps,episodes,% time spent exploring,mean 100 episode reward per step
-inf,0,1,100,-inf
-28.7,100,2,99,-0.3684914997563912
-28.7,200,2,99,-0.3684914997563912
-48.6,300,3,99,-0.359113613479925
-46.3,400,4,99,-0.4046126028459129
-36.3,500,6,99,-0.4005048379050919
-30.8,600,8,98,-0.4006282286510582
-30.9,700,9,98,-0.3967360876688478
-30.9,800,9,98,-0.3967360876688478
-34.9,900,10,98,-0.3968622490156702
-35.1,1000,12,98,-0.4007145006199834
-33.7,1100,14,97,-0.41688957923753445
-32.5,1200,16,97,-0.416735591758772
-32.7,1300,17,97,-0.41939627522203893
-31.7,1400,18,97,-0.42363940016194235
-32.1,1500,19,97,-0.422040806217044
-32.8,1600,21,96,-0.4219541368479752
-30.7,1700,23,96,-0.4228015535214062
-30.4,1800,25,96,-0.42988377920039184
-32.0,1900,26,96,-0.4318739353480151
-30.6,2000,28,96,-0.43155483032502717
-30.1,2100,29,95,-0.4304539258248751
-29.9,2200,32,95,-0.4297276013389015
-30.0,2300,33,95,-0.42942289668546685
-29.5,2400,35,95,-0.427127436025871
-28.6,2500,37,95,-0.4303746775530936
-28.6,2600,39,94,-0.4318303752839542
-28.6,2700,39,94,-0.4318303752839542
-28.6,2800,39,94,-0.4318303752839542
-30.5,2900,41,94,-0.43412254822203844
-29.7,3000,43,94,-0.4314140309428843
-29.8,3100,44,93,-0.43076340134003743
-29.8,3200,44,93,-0.43076340134003743
-30.3,3300,45,93,-0.42829409716589895
-29.6,3400,48,93,-0.4266775762923845
-29.8,3500,49,93,-0.42604500884500557
-29.8,3600,50,92,-0.4247670104472223
-29.8,3700,50,92,-0.4247670104472223
-30.4,3800,52,92,-0.4215100838101106
-29.5,3900,55,92,-0.41956757319931837
-29.0,4000,57,92,-0.4224727526930407
-28.3,4100,60,91,-0.41843103371059415
-28.3,4200,60,91,-0.41843103371059415
-28.3,4300,60,91,-0.41843103371059415
-29.0,4400,62,91,-0.4173764208036155
-29.0,4500,62,91,-0.4173764208036155
-30.1,4600,63,90,-0.4180223380966441
-29.9,4700,65,90,-0.41705250089302637
-29.3,4800,67,90,-0.41500444661568175
-29.5,4900,68,90,-0.41450905642487657
-29.4,5000,70,90,-0.4140221811706802
-29.6,5100,71,90,-0.4154873463363354
-29.3,5200,72,89,-0.41467516982053554
-29.3,5300,74,89,-0.4144288991594197
-29.6,5400,75,89,-0.4139656519324745
-29.6,5500,76,89,-0.4131216539473244
