#{"t_start": 1571866074.2000926, "env_id": "highway-discrete-v0"}
r,l,t
-39.066718,90,7.11865
-13.432651,32,9.27409
-8.71637,15,10.316203
-22.041222,51,13.683845
-14.612257,46,16.728731
-14.633462,37,19.186908
-13.502772,27,21.00234
-15.712906,37,23.463405
-11.358621,41,26.360059
-28.672521,78,31.95798
-24.793514,61,36.38646
-16.789431,46,39.785198
-62.972388,137,50.700014
-17.099991,41,54.218479
-25.790235,77,61.400506
-15.929368,51,67.130664
-31.156329,67,75.134062
-15.651262,39,79.659024
-14.177903,29,83.086296
-10.630197,27,86.595731
-13.541238,29,90.156316
-17.59989,40,95.117058
-97.920804,200,118.743283
-10.868853,22,121.286807
-9.358126,25,124.302867
-17.687037,45,129.576616
-26.791802,68,137.935561
-37.440323,79,148.395706
-32.286164,61,156.932218
-19.943976,59,164.669954
-13.067177,36,169.612456
-27.001032,64,180.402085
-67.640244,192,208.106365
-14.670127,36,213.308502
-35.773487,82,225.694434
-37.17861,92,238.850338
-13.544372,41,244.689888
-31.415813,94,258.60484
-24.024955,44,265.374629
-15.843584,41,271.444582
-20.040716,67,281.394435
-23.627484,40,286.934701
-12.925117,23,290.287943
-17.777355,49,297.272354
-63.536175,145,318.680488
-17.371466,44,325.299956
-8.280454,17,327.898247
-26.424351,65,337.261192
-12.433743,35,342.752434
-69.493245,177,368.634124
-16.365329,77,380.595898
-10.502769,31,385.154239
-51.214658,126,402.637062
-20.74861,45,409.136104
-94.260878,208,439.394512
-23.540506,56,447.742381
-86.979356,207,478.157646
-32.489461,78,489.501871
-19.936175,54,497.464696
-50.229312,145,520.342449
-13.825545,27,525.681247
-9.744747,26,530.63408
-14.796597,35,536.128562
-52.419298,123,557.528605
-12.363317,28,563.594733
-15.122777,34,569.611724
-17.889654,42,577.568986
-33.292521,101,598.182004
-45.855583,114,620.770748
-15.711091,44,628.869258
-35.685221,74,642.141565
-102.995406,243,681.999786
-45.120518,98,697.159415
-42.196306,111,716.389935
-17.626704,44,723.687493
-20.891998,54,732.23348
-41.316481,112,748.886305
-73.850678,218,782.930703
-50.863714,168,808.507626
-30.405223,81,820.757434
-42.702937,124,841.383357
-20.012794,40,847.552543
-54.3204,117,865.154356
-8.136922,21,868.516068
-22.145762,65,878.56057
-21.860591,45,885.380551
-39.362147,87,898.729239
-26.003718,74,909.947007
-6.268333,28,914.422438
-28.460683,65,925.06353
-33.516709,65,936.364771
-50.297706,138,959.409298
-13.245126,26,963.505023
-8.537376,26,967.705988
-37.903324,89,981.854193
-62.465136,160,1010.090361
-15.385324,49,1019.131401
-121.829278,300,1069.228982
-26.31889,82,1083.045294
-20.56744,59,1092.587946
-13.72301,28,1097.475938
-12.609594,29,1102.163881
-42.547495,89,1116.130343
-7.581313,29,1120.696756
-18.975075,45,1127.761328
-56.102954,140,1151.496072
-20.935466,47,1160.127241
-26.513116,82,1173.551682
-42.368815,107,1191.747549
-34.494207,108,1208.248934
-38.08999,107,1224.816128
-79.761176,205,1257.718012
-14.225544,37,1263.706718
-27.840994,81,1276.098216
-43.006783,131,1297.127372
-91.540129,217,1330.350443
-10.829495,33,1335.860121
-15.680585,45,1343.024211
-5.973638,14,1345.196468
-9.991268,28,1349.558495
-7.140395,23,1353.069041
-72.048828,203,1384.022015
-17.960162,47,1391.001217
-21.844346,49,1397.972145
-44.750566,107,1412.781398
-20.619277,50,1420.05972
-12.878181,30,1424.661912
-14.707681,44,1430.747712
-8.848896,19,1433.298398
-36.191767,119,1449.291417
-13.262441,29,1453.552446
-44.36831,107,1468.74609
-16.22134,37,1473.839454
-28.40251,67,1482.640086
-57.878646,145,1503.705598
-4.484445,14,1505.857153
-18.363304,46,1512.124892
-26.765913,68,1521.291643
-34.148025,87,1533.632982
-54.003106,109,1548.563015
-23.645376,61,1556.671211
-27.254952,68,1566.317112
-37.498105,99,1581.068389
-9.074322,22,1584.116748
-27.171028,94,1596.859588
-26.125625,62,1605.807564
-110.757049,300,1647.416731
-9.758091,25,1650.947535
-8.39194,17,1653.471728
-14.336459,39,1658.975741
-34.389081,106,1673.509555
-31.201065,82,1684.779039
-46.616065,112,1700.120769
-55.591876,131,1718.02281
-18.060886,43,1723.924287
-9.564362,41,1729.491547
-101.0853,300,1770.807068
-8.586248,29,1774.987619
-6.892532,19,1777.820777
-34.132104,109,1792.47165
-11.585617,28,1796.151325
-15.703267,56,1804.063939
-17.976612,52,1811.036776
-8.494997,22,1814.170323
-34.079238,122,1830.601409
-96.929076,300,1868.30968
-23.233395,77,1877.912348
-16.474273,45,1883.441107
-15.857796,41,1888.735195
-7.309435,18,1890.886223
-47.661851,120,1905.272793
-10.444763,22,1908.091335
-15.353443,34,1912.602156
-26.599864,56,1919.484662
-9.38488,23,1922.312949
-33.461779,97,1934.769941
